model,f1_0,f1_1,f1_2,avg_f1
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-03_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9787135124206544,0.8033464550971985,0.6477684378623962,0.8099428415298462
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-03_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.983176589012146,0.7996159791946411,0.7074320912361145,0.8300749659538269
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-03_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9834762811660768,0.8073283433914185,0.7339028120040894,0.8415691256523132
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-03_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9746487140655518,0.748836100101471,0.6539797782897949,0.7924882173538208
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-04_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9862197041511536,0.8363345861434937,0.7107374668121338,0.8444306254386902
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-04_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9793407917022704,0.7557823061943054,0.7162061929702759,0.8171097636222839
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-04_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9865744709968568,0.8449596762657166,0.7179489731788635,0.8498277068138123
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-04_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.98345947265625,0.8023000955581665,0.7207841277122498,0.8355145454406738
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-05_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9836844205856324,0.8127471208572388,0.6971696019172668,0.8312004804611206
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-05_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9845194816589355,0.8151146769523621,0.7028272151947021,0.8341538310050964
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-05_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9829660654067992,0.797850489616394,0.6911104917526245,0.8239757418632507
UKAN_64_80_128_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-05_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.984590470790863,0.8240486979484558,0.7116211652755737,0.840086817741394
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-02_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9765346050262452,0.7238499522209167,0.6572044491767883,0.7858630418777466
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-02_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9847044348716736,0.7910246849060059,0.6226369142532349,0.7994553446769714
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-02_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9872074127197266,0.8552919626235962,0.7098041772842407,0.8507678508758545
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-02_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9846649169921876,0.8130168318748474,0.6282282471656799,0.8086366653442383
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-03_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9852370023727416,0.830080509185791,0.7194017767906189,0.8449064493179321
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-03_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9863781929016112,0.8464223742485046,0.7141062021255493,0.8489689230918884
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-03_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9844828248023988,0.8265159130096436,0.7079790234565735,0.8396592140197754
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-03_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9855788946151732,0.8257795572280884,0.701452374458313,0.8376035690307617
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-04_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9659734964370728,0.0,0.0,0.3219911754131317
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-04_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9659734964370728,0.0,0.0,0.3219911754131317
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-04_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9659734964370728,0.0,0.0,0.3219911754131317
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-04_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9659734964370728,0.0,0.0,0.3219911754131317
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-05_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9659695625305176,0.0,0.0012845239834859,0.3224180340766907
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-05_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9659750461578368,0.0,0.0015562744811177,0.3225104510784149
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-05_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9659754037857056,0.0,0.000130168205942,0.3220351934432983
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWTrue_BS2_LR1.0e-05_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9659765362739564,0.0,0.0001531144371256,0.322043240070343
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-02_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9854032397270204,0.8289934992790222,0.6396351456642151,0.818010687828064
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-02_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9833088517189026,0.8026643991470337,0.645901083946228,0.8106247782707214
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-02_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9809027314186096,0.5980388522148132,0.4302313029766083,0.6697243452072144
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-02_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9844084978103638,0.8186812996864319,0.7103480100631714,0.837812602519989
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-03_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.982684314250946,0.7984885573387146,0.7109331488609314,0.830702006816864
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-03_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.985442578792572,0.8286294937133789,0.7239699363708496,0.8460140228271484
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-03_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9832216501235962,0.7975983619689941,0.7099369168281555,0.8302523493766785
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-03_KLR1.0e-03_WD1.0e-04_KWD1.0e-04_SCHReduceLROnPlateau_E500_PAT5_ES20,0.9842717051506042,0.8105165362358093,0.7013351321220398,0.8320411443710327
UKAN_32_40_64_SZ512_512_roweeder_LFocalLoss_LWFalse_BS2_LR1.0e-04_KLR1.0e-02_WD1.0e-04_KWD1.0e-04_SCHConstantLR_E500_PAT5_ES20,0.9659734964370728,0.0,0.0,0.3219911754131317
